247,Будённовск,64628
248,Донской,64561
249,Полевской,64191
250,Лениногорск,64145
251,Павловский Посад,63771
252,Славянск-на-Кубани,63768
253,Заречный,63579
254,Туапсе,63233
255,Россошь,62865
256,Кумертау,62854
257,Лабинск,62822
258,Сибай,62732
259,Клинцы,62510
260,Ржев,62026
261,Ревда,61890
262,Тихорецк,61825
263,Нерюнгри,61746
264,Алексин,61738
265,Александров,61544
266,Дмитров,61454
267,Мелеуз,61408
268,Сальск,61312
269,Лесосибирск,61146
270,Гусь-Хрустальный,60773
271,Чистополь,60703
272,Павлово,60699
273,Чехов,60677
274,Котлас,60562
275,Белебей,60183
276,Искитим,60072
277,Верхняя Пышма,59745
278,Краснотурьинск,59701
279,Апатиты,59690
280,Всеволожск,59689
281,Прохладный,59595
282,Михайловка,59153
283,Анапа,58983
284,Тихвин,58843
285,Свободный,58594
286,Ивантеевка,58594
287,Шуя,58528
288,Когалым,58192
289,Щёкино,58154
290,Крымск,57370
291,Вязьма,57103
292,Горно-Алтайск,56928
293,Видное,56798
294,Арсеньев,56742
295,Избербаш,56301
296,Выкса,56196
297,Климовск,56113
298,Лиски,55864
299,Волжск,55671
300,Краснокаменск,55668
301,Жигулёвск,55560
302,Фрязино,55449
303,Узловая,55282
304,Лыткарино,55147
305,Нягань,54903
306,Рославль,54898
307,Геленджик,54813
308,Тимашёвск,53921
309,Белореченск,53891
310,Боровичи,53699
311,Солнечногорск,52996
312,Назарово,52829
313,Кириши,52826
314,Черемхово,52650
315,Вышний Волочёк,52326
316,Краснокамск,51929
317,Берёзовский,51583
318,Балахна,51526
319,Ливны,50430
320,Лесной,50364
321,Донецк,50085
322,Североморск,50076
323,Саяногорск,49889
324,Бугуруслан,49737
325,Кимры,49623
326,Мегион,49471
327,Кизляр,49169
328,Урус-Мартан,49071
329,Снежинск,48896
330,Кингисепп,48667
331,Заринск,48456
332,Отрадный,48359
333,Курганинск,47974
334,Шелехов,47960
335,Можга,47959
336,Сертолово,47854
337,Ярцево,47853
338,Шали,47715
339,Торжок,47702
340,Рузаевка,47529
341,Волхов,47344
342,Берёзовский,47292
343,Дзержинский,47125
344,Грязи,46798
345,Чусовой,46740
346,Надым,46550
347,Верхняя Салда,46240
348,Сафоново,46116
349,Осинники,45997
350,Кольчугино,45804
351,Гудермес,45643
352,Канаш,45608
353,Рассказово,45484
354,Сатка,45465
355,Мончегорск,45381
356,Куйбышев,45298
357,Усть-Кут,45061
358,Тулун,44603
359,Красное Село,44485
360,Шебекино,44277
361,Спасск-Дальний,44166
362,Камень-на-Оби,43880
363,Белая Калитва,43688
364,Печора,43458
365,Чебаркуль,43405
366,Радужный,43394
367,Усть-Лабинск,43268
368,Мценск,43216
369,Мыски,43029
370,Ломоносов,43002
371,Кронштадт,42999
372,Амурск,42977
373,Курчатов,42691
374,Салехард,42494
375,Ефремов,42350
376,Стрежевой,42216
377,Аксай,41984
378,Переславль-Залесский,41923
379,Ахтубинск,41898
380,Кашира,41880
381,Заинск,41798
382,Советск,41709
383,Пугачёв,41705
384,Лангепас,41675
385,Бирск,41637
386,Урюпинск,41594
387,Моршанск,41550
